Bank identifier;BIC;Bank
0500;DNBANOKK;DNB Bank ASA
0519;DNBANOKK;DNB Bank ASA 
0520;DNBANOKK;DNB Bank ASA 
0521;DNBANOKK;DNB Bank ASA 
0522;DNBANOKK;DNB Bank ASA 
0525;DNBANOKK;DNB Bank ASA 
0529;DNBANOKK;DNB Bank ASA 
0530;DNBANOKK;DNB Bank ASA 
0531;DNBANOKK;DNB Bank ASA 
0532;DNBANOKK;DNB Bank ASA 
0533;DNBANOKK;DNB Bank ASA 
0534;DNBANOKK;DNB Bank ASA 
0535;DNBANOKK;DNB Bank ASA 
0536;DNBANOKK;DNB Bank ASA 
0537;DNBANOKK;DNB Bank ASA 
0538;DNBANOKK;DNB Bank ASA 
0539;DNBANOKK;DNB Bank ASA 
0540;DNBANOKK;DNB Bank ASA 
0542;DNBANOKK;DNB Bank ASA 
0543;DNBANOKK;DNB Bank ASA 
0544;DNBANOKK;DNB Bank ASA 
0545;DNBANOKK;DNB Bank ASA 
0546;DNBANOKK;DNB Bank ASA 
0547;DNBANOKK;DNB Bank ASA 
0570;DNBANOKK;DNB Bank ASA 
0571;DNBANOKK;DNB Bank ASA 
0573;DNBANOKK;DNB Bank ASA 
0574;DNBANOKK;DNB Bank ASA 
0576;DNBANOKK;DNB Bank ASA 
0577;DNBANOKK;DNB Bank ASA 
0578;DNBANOKK;DNB Bank ASA 
0579;DNBANOKK;DNB Bank ASA 
0582;DNBANOKK;DNB Bank ASA 
1000;DNBANOKK;DNB Bank ASA 
1010;DNBANOKK;DNB Bank ASA 
1014;DNBANOKK;DNB Bank ASA 
1020;EIDSNO21;Eidsberg Sparebank
1029;EIDSNO21;Eidsberg Sparebank
1030;RYGSNO21;Sparebank1 Østfold Akershus
1040;DNBANOKK;DNB Bank ASA 
1050;MASPNO21;Marker Sparebank
1051;MASPNO21;Marker Sparebank
1061;DNBANOKK;DNB Bank ASA 
1064;DNBANOKK;DNB Bank ASA 
1070;DNBANOKK;DNB Bank ASA 
1080;RYGSNO21;Sparebank1 Østfold Akershus
1081;RYGSNO21;Sparebank1 Østfold Akershus
1082;RYGSNO21;Sparebank1 Østfold Akershus
1083;RYGSNO21;Sparebank1 Østfold Akershus
1085;RYGSNO21;Sparebank1 Østfold Akershus
1090;DNBANOKK;DNB Bank ASA 
1097;DNBANOKK;DNB Bank ASA 
1100;ASKSNO21;Askim og Spydeberg Sparebank
1101;ASKSNO21;Askim og Spydeberg Sparebank
1105;BRGPNO21;Berg Sparebank
1111;DNBANOKK;DNB Bank ASA 
1121;DNBANOKK;DNB Bank ASA 
1135;ASKSNO21;Askim og Spydeberg Sparebank
1139;ASKSNO21;Askim og Spydeberg Sparebank
1140;TRSPNO21;Trøgstad Sparebank
1145;DNBANOKK;DNB Bank ASA 
1150;DNBANOKK;DNB Bank ASA 
1160;DNBANOKK;DNB Bank ASA 
1200;DNBANOKK;DNB Bank ASA 
1201;DNBANOKK;DNB Bank ASA
1202;DNBANOKK;DNB Bank ASA
1203;DNBANOKK;DNB Bank ASA
1204;DNBANOKK;DNB Bank ASA
1206;DNBANOKK;DNB Bank ASA 
1207;DNBANOKK;DNB Bank ASA
1208;DNBANOKK;DNB Bank ASA
1210;DNBANOKK;DNB Bank ASA 
1211;DNBANOKK;DNB Bank ASA 
1212;DNBANOKK;DNB Bank ASA 
1213;DNBANOKK;DNB Bank ASA 
1214;DNBANOKK;DNB Bank ASA 
1221;DNBANOKK;DNB Bank ASA 
1224;DNBANOKK;DNB Bank ASA
1225;DNBANOKK;DNB Bank ASA
1226;DNBANOKK;DNB Bank ASA
1227;DNBANOKK;DNB Bank ASA
1228;DNBANOKK;DNB Bank ASA
1229;DNBANOKK;DNB Bank ASA
1230;DNBANOKK;DNB Bank ASA 
1231;DNBANOKK;DNB Bank ASA 
1233;DNBANOKK;DNB Bank ASA
1234;DNBANOKK;DNB Bank ASA
1235;DNBANOKK;DNB Bank ASA
1240;DNBANOKK;DNB Bank ASA 
1250;DNBANOKK;DNB Bank ASA 
1251;DNBANOKK;DNB Bank ASA
1254;CULTNOK1;Cultura Sparebank
1260;DNBANOKK;DNB Bank ASA
1261;DNBANOKK;DNB Bank ASA
1262;DNBANOKK;DNB Bank ASA
1269;LISTNO21;Romerike Sparebank
1271;AUSNNO21;Aurskog Sparebank
1275;DNBANOKK;DNB Bank ASA
1280;HOLLNO21;Høland og Setskog Sparebank
1286;LISTNO21;Romerike Sparebank
1295;DNBANOKK;DNB Bank ASA 
1310;STMMNO21;Strømmen Sparebank
1315;DNBANOKK;DNB Bank ASA
1321;LISTNO21;Romerike Sparebank
1335;DNBANOKK;DNB Bank ASA
1338;HOLLNO21;Høland og Setskog Sparebank
1430;SWEDNOKK;Swedbank Norge
1431;SWEDNOKK;Swedbank Oslo
1440;JERNNO21;Jernbanepersonalets sparebank
1450;TELENO21;Oslofjord Sparebank
1500;DNBANOKK;DNB Bank ASA
1501;DNBANOKK;DNB Bank ASA
1502;DNBANOKK;DNB Bank ASA
1503;DNBANOKK;DNB Bank ASA
1504;DNBANOKK;DNB Bank ASA
1505;DNBANOKK;DNB Bank ASA
1506;DNBANOKK;DNB Bank ASA
1507;DNBANOKK;DNB Bank ASA
1508;DNBANOKK;DNB Bank ASA
1509;DNBANOKK;DNB Bank ASA
1514;DNBANOKK;DNB Bank ASA
1515;DNBANOKK;DNB Bank ASA
1516;DNBANOKK;DNB Bank ASA
1517;DNBANOKK;DNB Bank ASA
1518;DNBANOKK;DNB Bank ASA
1519;DNBANOKK;DNB Bank ASA
1520;DNBANOKK;DNB Bank ASA
1521;DNBANOKK;DNB Bank ASA
1528;DNBANOKK;DNB Bank ASA
1532;DNBANOKK;DNB Bank ASA
1537;DNBANOKK;DNB Bank ASA
1542;DNBANOKK;DNB Bank ASA
1550;DNBANOKK;DNB Bank ASA
1551;DNBANOKK;DNB Bank ASA
1552;DNBANOKK;DNB Bank ASA
1554;DNBANOKK;DNB Bank ASA
1559;DNBANOKK;DNB Bank ASA
1560;DNBANOKK;DNB Bank ASA
1563;DNBANOKK;DNB Bank ASA
1564;DNBANOKK;DNB Bank ASA
1565;DNBANOKK;DNB Bank ASA
1566;DNBANOKK;DNB Bank ASA
1567;DNBANOKK;DNB Bank ASA
1568;DNBANOKK;DNB Bank ASA
1578;DNBANOKK;DNB Bank ASA
1580;DNBANOKK;DNB Bank ASA
1582;DNBANOKK;DNB Bank ASA
1586;DNBANOKK;DNB Bank ASA
1587;DNBANOKK;DNB Bank ASA
1588;DNBANOKK;DNB Bank ASA
1590;DNBANOKK;DNB Bank ASA
1591;DNBANOKK;DNB Bank ASA
1593;DNBANOKK;DNB Bank ASA
1594;DNBANOKK;DNB Bank ASA
1595;DNBANOKK;DNB Bank ASA
1600;DNBANOKK;DNB Bank ASA
1601;DNBANOKK;DNB Bank ASA
1602;DNBANOKK;DNB Bank ASA
1603;DNBANOKK;DNB Bank ASA
1604;DNBANOKK;DNB Bank ASA
1605;DNBANOKK;DNB Bank ASA
1606;DNBANOKK;DNB Bank ASA
1607;DNBANOKK;DNB Bank ASA
1609;DNBANOKK;DNB Bank ASA
1612;DNBANOKK;DNB Bank ASA
1613;DNBANOKK;DNB Bank ASA
1614;DNBANOKK;DNB Bank ASA
1615;DNBANOKK;DNB Bank ASA
1617;DNBANOKK;DNB Bank ASA
1619;DNBANOKK;DNB Bank ASA
1620;DNBANOKK;DNB Bank ASA
1621;DNBANOKK;DNB Bank ASA
1622;DNBANOKK;DNB Bank ASA
1623;DNBANOKK;DNB Bank ASA
1624;DNBANOKK;DNB Bank ASA
1626;DNBANOKK;DNB Bank ASA
1627;DNBANOKK;DNB Bank ASA
1628;DNBANOKK;DNB Bank ASA
1629;DNBANOKK;DNB Bank ASA
1632;DNBANOKK;DNB Bank ASA
1633;DNBANOKK;DNB Bank ASA
1636;DNBANOKK;DNB Bank ASA
1637;DNBANOKK;DNB Bank ASA
1638;DNBANOKK;DNB Bank ASA
1640;DNBANOKK;DNB Bank ASA
1641;DNBANOKK;DNB Bank ASA
1643;DNBANOKK;DNB Bank ASA
1644;DNBANOKK;DNB Bank ASA
1645;DNBANOKK;DNB Bank ASA
1654;DNBANOKK;DNB Bank ASA
1660;DNBANOKK;DNB Bank ASA
1674;DNBANOKK;DNB Bank ASA
1683;DNBANOKK;DNB Bank ASA
1684;DNBANOKK;DNB Bank ASA
1697;DNBANOKK;DNB Bank ASA
1698;DNBANOKK;DNB Bank ASA
1700;DNBANOKK;DNB Bank ASA
1720;BIENNOK1;Bien Sparebank ASA
1730;DNBANOKK;DNB Bank ASA
1800;SHEDNO22;SpareBank 1 Østlandet
1801;SHEDNO22;SpareBank 1 Østlandet
1802;SHEDNO22;SpareBank 1 Østlandet
1803;SHEDNO22;SpareBank 1 Østlandet
1810;SHEDNO22;SpareBank 1 Østlandet
1813;SHEDNO22;SpareBank 1 Østlandet
1815;SHEDNO22;SpareBank 1 Østlandet
1819;SHEDNO22;SpareBank 1 Østlandet
1820;SHEDNO22;SpareBank 1 Østlandet
1822;SHEDNO22;SpareBank 1 Østlandet
1829;SHEDNO22;SpareBank 1 Østlandet
1830;GRUENO21;Grue Sparebank
1840;SHEDNO22;SpareBank 1 Østlandet
1850;SHEDNO22;SpareBank 1 Østlandet
1865;SHEDNO22;SpareBank 1 Østlandet
1868;SHEDNO22;SpareBank 1 Østlandet
1870;ODASNO21;Odal Sparebank
1871;ODASNO21;Odal Sparebank
1875;DNBANOKK;DNB Bank ASA
1885;TOSPNO21;Tolga-Os Sparebank
1886;TOSPNO21;Tolga-Os Sparebank
1890;SHEDNO22;SpareBank 1 Østlandet
1895;SHEDNO22;SpareBank 1 Østlandet
1904;SHEDNO22;SpareBank 1 Østlandet
1913;SHEDNO22;SpareBank 1 Østlandet
1917;SHEDNO22;SpareBank 1 Østlandet
2000;DNBANOKK;DNB Bank ASA
2002;DNBANOKK;DNB Bank ASA
2003;DNBANOKK;DNB Bank ASA
2005;DNBANOKK;DNB Bank ASA
2010;DNBANOKK;DNB Bank ASA
2020;RIRINO21;Sparebank 1 Ringerike Hadeland
2030;RIRINO21;Sparebank 1 Ringerike Hadeland
2050;TOTENO21;SpareBank 1 Østlandet
2051;TOTENO21;SpareBank 1 Østlandet
2065;DNBANOKK;DNB Bank ASA
2070;DNBANOKK;DNB Bank ASA
2073;DNBANOKK;DNB Bank ASA
2075;DNBANOKK;DNB Bank ASA
2081;DNBANOKK;DNB Bank ASA
2085;LOSKNO21;Sparebank 1 Lom og Sjåk
2090;DNBANOKK;DNB Bank ASA
2095;SGFSNO21;Sparebank 1 Gudbrandsdal
2100;DNBANOKK;DNB Bank ASA
2105;DNBANOKK;DNB Bank ASA
2120;DNBANOKK;DNB Bank ASA
2125;SGFSNO21;Sparebank 1 Gudbrandsdal
2135;HAALNO21;Sparebank 1 Hallingdal Valdres
2140;ETSPNO21;Etnedal Sparebank
2146;VESLNO21;Valdres Sparebank
2153;VESLNO21;Valdres Sparebank
2154;VESLNO21;Valdres Sparebank
2200;DNBANOKK;DNB Bank ASA
2201;DNBANOKK;DNB Bank ASA
2207;DNBANOKK;DNB Bank ASA
2212;DNBANOKK;DNB Bank ASA
2220;SAOENO22;Sparebanken Øst
2221;SAOENO22;Sparebanken Øst
2222;SAOENO22;Sparebanken Øst
2223;SAOENO22;Sparebanken Øst
2230;NEPRNO21;Skue Sparebank
2240;DNBANOKK;DNB Bank ASA
2241;DNBANOKK;DNB Bank ASA
2245;DNBANOKK;DNB Bank ASA
2250;DNBANOKK;DNB Bank ASA
2260;DNBANOKK;DNB Bank ASA
2261;DNBANOKK;DNB Bank ASA
2270;VEFONO21;SpareBank 1 Sør-Norge ASA
2280;RIRINO21;Sparebank 1 Ringerike Hadeland
2281;RIRINO21;Sparebank 1 Ringerike Hadeland
2291;VEFONO21;SpareBank 1 Sør-Norge ASA
2300;DNBANOKK;DNB Bank ASA
2310;SAOENO22;Sparebanken Øst
2318;SAOENO22;Sparebanken Øst
2319;SAOENO22;Sparebanken Øst
2320;HAALNO21;Sparebank 1 Hallingdal Valdres
2322;HAALNO21;Sparebank 1 Hallingdal Valdres
2324;HAALNO21;Sparebank 1 Hallingdal Valdres
2325;HAALNO21;Sparebank 1 Hallingdal Valdres
2329;HAALNO21;Sparebank 1 Hallingdal Valdres
2333;NEPRNO21;Skue Sparebank
2335;DNBANOKK;DNB Bank ASA
2345;SAOENO22;Sparebanken Øst
2346;SAOENO22;Sparebanken Øst
2351;NEPRNO21;Skue Sparebank
2352;NEPRNO21;Skue Sparebank
2356;DNBANOKK;DNB Bank ASA
2361;DNBANOKK;DNB Bank ASA
2364;DNBANOKK;DNB Bank ASA
2367;HAALNO21;Sparebank 1 Hallingdal Valdres
2372;DNBANOKK;DNB Bank ASA
2375;DNBANOKK;DNB Bank ASA
2378;DNBANOKK;DNB Bank ASA
2400;DNBANOKK;DNB Bank ASA
2401;DNBANOKK;DNB Bank ASA
2410;DNBANOKK;DNB Bank ASA
2420;DNBANOKK;DNB Bank ASA
2440;DNBANOKK;DNB Bank ASA
2442;DNBANOKK;DNB Bank ASA
2448;DNBANOKK;DNB Bank ASA
2450;DNBANOKK;DNB Bank ASA
2460;DNBANOKK;DNB Bank ASA
2467;DNBANOKK;DNB Bank ASA
2470;VEFONO21;SpareBank 1 Sør-Norge ASA
2475;VEFONO21;SpareBank 1 Sør-Norge ASA
2480;VEFONO21;SpareBank 1 Sør-Norge ASA
2481;VEFONO21;SpareBank 1 Sør-Norge ASA
2489;VEFONO21;SpareBank 1 Sør-Norge ASA
2490;DNBANOKK;DNB Bank ASA
2500;BLSPNO21;Skagerrak Sparebank
2503;BLSPNO21;Skagerrak Sparebank
2505;VEFONO21;SpareBank 1 Sør-Norge ASA
2510;BLSPNO21;Skagerrak Sparebank
2515;DNBANOKK;DNB Bank ASA
2520;DNBANOKK;DNB Bank ASA
2525;DNBANOKK;DNB Bank ASA
2530;DNBANOKK;DNB Bank ASA
2535;DNBANOKK;DNB Bank ASA
2540;VEFONO21;SpareBank 1 Sør-Norge ASA
2544;VEFONO21;SpareBank 1 Sør-Norge ASA
2545;DNBANOKK;DNB Bank ASA
2551;VEFONO21;SpareBank 1 Sør-Norge ASA
2557;DNBANOKK;DNB Bank ASA
2560;DNBANOKK;DNB Bank ASA
2563;DNBANOKK;DNB Bank ASA 
2582;DNBANOKK;DNB Bank ASA
2601;BLSPNO21;Skagerrak Sparebank
2606;BLSPNO21;Skagerrak Sparebank
2610;VEFONO21;SpareBank 1 Sør-Norge ASA
2620;TINNNO21;Tinn Sparebank
2621;TINNNO21;Tinn Sparebank
2630;BSPANO21;Sparebanken DIN
2632;BSPANO21;Sparebanken DIN
2635;DRANNO21;Drangedal Sparebank
2639;DRANNO21;Drangedal Sparebank
2646;DNBANOKK;DNB Bank ASA
2650;VEFONO21;SpareBank 1 Sør-Norge ASA
2655;BLSPNO21;Skagerrak Sparebank
2656;BLSPNO21;Skagerrak Sparebank
2660;SPSONO22;Sparebanken Sør
2665;VEFONO21;SpareBank 1 Sør-Norge ASA
2670;VEFONO21;SpareBank 1 Sør-Norge ASA
2675;DNBANOKK;DNB Bank ASA
2680;DNBANOKK;DNB Bank ASA
2685;DNBANOKK;DNB Bank ASA
2694;SPSONO22;Sparebanken Sør
2699;HJARNO21;Skue Sparebank
2704;SPSONO22;Sparebanken Sør
2705;SPSONO22;Sparebanken Sør
2708;SPSONO22;Sparebanken Sør
2711;BSPANO21;Sparebanken DIN
2714;SPSONO22;Sparebanken Sør
2717;DNBANOKK;DNB Bank ASA
2800;SPSONO22;Sparebanken Sør
2801;SPSONO22;Sparebanken Sør
2803;SPSONO22;Sparebanken Sør
2809;SPSONO22;Sparebanken Sør
2811;SPSONO22;Sparebanken Sør
2818;SPSONO22;Sparebanken Sør
2819;SPSONO22;Sparebanken Sør 
2821;SPSONO22;Sparebanken Sør
2826;SPSONO22;Sparebanken Sør
2835;SPSONO22;Sparebanken Sør
2840;SPSONO22;Sparebanken Sør
2850;LILLNO21;Lillesands Sparebank
2860;SPSONO22;Sparebanken Sør 
2880;BISNNO21;Birkenes Sparebank
2881;BISNNO21;Birkenes Sparebank
2890;VSPANO21;Valle Sparebank
2895;GJSPNO21;Agder Sparebank
2898;SPSONO22;Sparebanken Sør
2901;EVJENO21;Evje og Hornnes Sparebank
2902;EVJENO21;Evje og Hornnes Sparebank
2904;SPSONO22;Sparebanken Sør
2907;GJSPNO21;Agder Sparebank
2908;GJSPNO21;Agder Sparebank
2913;SPSONO22;Sparebanken Sør
2920;SPSONO22;Sparebanken Sør
2926;SPSONO22;Sparebanken Sør
2938;GJSPNO21;Agder Sparebank
2949;SPSONO22;Sparebanken Sør
3000;SPSONO22;Sparebanken Sør
3001;SPSONO22;Sparebanken Sør
3006;SPSONO22;Sparebanken Sør
3023;SPSONO22;Sparebanken Sør
3030;FLEKNO21;Flekkefjord Sparebank
3040;SPSONO22;Sparebanken Sør
3050;SPSONO22;Sparebanken Sør
3060;SPSKNO21;Spareskillingsbanken
3070;SPSONO22;Sparebanken Sør
3075;SPSONO22;Sparebanken Sør
3080;KVIDNO21;Kvinesdal Sparebank
3085;SPSONO22;Sparebanken Sør
3090;SOGSNO21;Søgne og Greipstad Sparebank
3095;SPSONO22;Sparebanken Sør
3100;SPSONO22;Sparebanken Sør
3108;SPSONO22;Sparebanken Sør
3111;KVIDNO21;Kvinesdal Sparebank
3114;SPSONO22;Sparebanken Sør
3117;KVIDNO21;Kvinesdal Sparebank
3123;SPSONO22;Sparebanken Sør
3126;SPRONO22;SpareBank 1 Sør-Norge ASA
3129;SPSONO22;Sparebanken Sør
3132;SPRONO22;SpareBank 1 Sør-Norge ASA
3138;SPSONO22;Sparebanken Sør
3141;SPSONO22;Sparebanken Sør
3144;SPSONO22;Sparebanken Sør
3148;SPSONO22;Sparebanken Sør
3180;SPRONO22;SpareBank 1 Sør-Norge ASA
3185;SPRONO22;SpareBank 1 Sør-Norge ASA
3201;SPRONO22;SpareBank 1 Sør-Norge ASA
3202;SPRONO22;SpareBank 1 Sør-Norge ASA
3204;SPRONO22;SpareBank 1 Sør-Norge ASA
3205;SPRONO22;SpareBank 1 Sør-Norge ASA
3206;SPRONO22;SpareBank 1 Sør-Norge ASA
3207;SPRONO22;SpareBank 1 Sør-Norge ASA
3208;SPRONO22;SpareBank 1 Sør-Norge ASA
3209;SPRONO22;SpareBank 1 Sør-Norge ASA
3210;SPRONO22;SpareBank 1 Sør-Norge ASA
3211;SPRONO22;SpareBank 1 Sør-Norge ASA
3212;SPRONO22;SpareBank 1 Sør-Norge ASA
3213;SPRONO22;SpareBank 1 Sør-Norge ASA
3223;SPRONO22;SpareBank 1 Sør-Norge ASA
3224;SPRONO22;SpareBank 1 Sør-Norge ASA
3230;SPRONO22;SpareBank 1 Sør-Norge ASA
3240;HAUGNO21;Haugesund Sparebank
3241;HAUGNO21;Haugesund Sparebank
3242;HAUGNO21;Haugesund Sparebank
3243;HAUGNO21;Haugesund Sparebank
3244;HAUGNO21;Haugesund Sparebank
3247;HAUGNO21;Haugesund Sparebank
3250;SPRONO22;SpareBank 1 Sør-Norge ASA
3260;SASKNO22;Rogaland Sparebank
3261;SASKNO22;Rogaland Sparebank
3264;SASKNO22;Rogaland Sparebank
3265;SASKNO22;Rogaland Sparebank
3268;SASKNO22;Rogaland Sparebank
3270;SPRONO22;SpareBank 1 Sør-Norge ASA
3280;SPRONO22;SpareBank 1 Sør-Norge ASA
3290;KLEPNO21;Jæren Sparebank
3295;SPRONO22;SpareBank 1 Sør-Norge ASA
3305;SPAVNOBB;Sparebanken Vest
3310;SPRONO22;SpareBank 1 Sør-Norge ASA
3315;SPRONO22;SpareBank 1 Sør-Norge ASA
3325;KLEPNO21;Jæren Sparebank
3330;SPRONO22;SpareBank 1 Sør-Norge ASA
3332;SPRONO22;SpareBank 1 Sør-Norge ASA
3333;SPRONO22;SpareBank 1 Sør-Norge ASA
3335;SPRONO22;SpareBank 1 Sør-Norge ASA
3340;SPRONO22;SpareBank 1 Sør-Norge ASA
3344;SPRONO22;SpareBank 1 Sør-Norge ASA
3347;SPRONO22;SpareBank 1 Sør-Norge ASA
3350;SPRONO22;SpareBank 1 Sør-Norge ASA
3353;SASKNO22;Rogaland Sparebank
3361;SKAANO21;Skudenes & Aakra Sparebank
3364;SPRONO22;SpareBank 1 Sør-Norge ASA
3373;SPRONO22;SpareBank 1 Sør-Norge ASA
3409;FANANOB1;Fana Sparebank
3411;FANANOB1;Fana Sparebank
3412;FANANOB1;Fana Sparebank
3413;FANANOB1;Fana Sparebank
3414;FANANOB1;Fana Sparebank
3415;FANANOB1;Fana Sparebank
3416;FANANOB1;Fana Sparebank
3417;FANANOB1;Fana Sparebank
3418;FANANOB1;Fana Sparebank
3419;FANANOB1;Fana Sparebank
3420;SPAVNOBB;Sparebanken Vest
3450;SPAVNOBB;Sparebanken Vest
3460;SPRONO22;SpareBank 1 Sør-Norge ASA
3470;SPAVNOBB;Sparebanken Vest
3480;VOSKNO21;Voss Sparebank
3485;VOSKNO21;Voss Sparebank
3490;SPAVNOBB;Sparebanken Vest
3492;SPAVNOBB;Sparebanken Vest
3495;SPAVNOBB;Sparebanken Vest
3500;SPAVNOBB;Sparebanken Vest
3506;SPAVNOBB;Sparebanken Vest
3520;SPAVNOBB;Sparebanken Vest
3525;TYSSNO21;Tysnes Sparebank
3529;TYSSNO21;Tysnes Sparebank
3530;SPAVNOBB;Sparebanken Vest
3535;SPRONO22;SpareBank 1 Sør-Norge ASA
3540;SPAVNOBB;Sparebanken Vest
3546;SPAVNOBB;Sparebanken Vest
